temperature,humidity,irrigation,soiltype,Season,label
20.87974371,82.00274423,3,2,2,rice
21.77046169,80.31964408,3,2,2,rice
23.00445915,82.3207629,3,2,2,rice
26.49109635,80.15836264,3,2,2,rice
20.13017482,81.60487287,3,2,2,rice
23.05804872,83.37011772,3,2,2,rice
22.70883798,82.63941394,3,2,2,rice
20.27774362,82.89408619,3,2,2,rice
24.51588066,83.5352163,3,2,2,rice
23.22397386,83.03322691,3,2,2,rice
26.52723513,81.41753846,3,2,2,rice
23.97898217,81.45061596,3,2,2,rice
26.80079604,80.88684822,3,2,2,rice
24.01497622,82.05687182,3,2,2,rice
25.66585205,80.66385045,3,2,2,rice
24.28209415,80.30025587,3,2,2,rice
21.58711777,82.7883708,3,2,2,rice
23.79391957,80.41817957,3,2,2,rice
21.8652524,80.1923008,3,2,2,rice
23.57943626,83.58760316,3,2,2,rice
21.32504158,80.47476396,3,2,2,rice
25.15745531,83.11713476,3,2,2,rice
21.94766735,80.97384195,3,2,2,rice
21.0525355,82.67839517,3,2,2,rice
23.48381344,81.33265073,3,2,2,rice
25.0756354,80.52389148,3,2,2,rice
26.35927159,84.04403589,3,2,2,rice
24.52922681,80.54498576,3,2,2,rice
20.77576147,84.49774397,3,2,2,rice
22.30157427,80.64416466,3,2,2,rice
21.44653958,84.94375962,3,2,2,rice
22.17931888,80.33127223,3,2,2,rice
24.52783742,82.73685569,3,2,2,rice
20.26707606,81.63895217,3,2,2,rice
25.7354293,83.88266234,3,2,2,rice
26.79533926,82.1480873,3,2,2,rice
26.75754171,81.17734011,3,2,2,rice
23.86330467,83.15250801,3,2,2,rice
21.01944696,82.95221726,3,2,2,rice
24.17298839,83.7287574,3,2,2,rice
22.78133816,82.06719137,3,2,2,rice
25.62980105,83.52842314,3,2,2,rice
25.59704938,80.14509262,3,2,2,rice
23.83067496,84.81360127,3,2,2,rice
26.31355498,82.36698992,3,2,2,rice
24.8972823,80.52586088,3,2,2,rice
24.958779,84.47963372,3,2,2,rice
23.24113501,84.59201843,3,2,2,rice
21.66628296,80.70960551,3,2,2,rice
24.63544858,80.41363018,3,2,2,rice
23.43121862,83.06310136,3,2,2,rice
20.0454142,80.3477562,3,2,2,rice
23.85724032,82.22572988,3,2,2,rice
21.97199397,81.89918197,3,2,2,rice
26.22916897,83.83625819,3,2,2,rice
23.44676801,84.79352417,3,2,2,rice
25.65553461,83.47021081,3,2,2,rice
24.44345477,82.45432595,3,2,2,rice
20.2801937,82.1235421,3,2,2,rice
21.7238313,80.2389895,3,2,2,rice
20.41447029,82.20802629,3,2,2,rice
25.75528612,83.51827127,3,2,2,rice
20.61521424,83.77345559,3,2,2,rice
21.84106875,80.72886384,3,2,2,rice
20.08369642,83.29114712,3,2,2,rice
24.45802087,82.74835604,3,2,2,rice
21.14347496,80.33502926,3,2,2,rice
25.78720567,82.11124033,3,2,2,rice
23.64124821,80.28597873,3,2,2,rice
23.43191632,80.56887849,3,2,2,rice
24.97669518,83.891805,3,2,2,rice
22.72791041,82.1706881,3,2,2,rice
24.87300744,82.84022551,3,2,2,rice
21.32376327,83.00320459,3,2,2,rice
26.29465461,84.56919326,3,2,2,rice
22.2286982,81.85872947,3,2,2,rice
26.73072391,81.78596776,3,2,2,rice
24.88921174,81.97927117,3,2,2,rice
26.88444878,81.46033732,3,2,2,rice
22.67846116,83.72874389,3,2,2,rice
26.08867875,80.37979919,3,2,2,rice
25.42977518,82.94682591,3,2,2,rice
26.40323239,81.05635517,3,2,2,rice
26.04371967,84.96907151,3,2,2,rice
25.2827223,80.54372813,3,2,2,rice
22.08576562,83.47038318,3,2,2,rice
23.28617173,81.43321641,3,2,2,rice
25.48591986,81.40633547,3,2,2,rice
23.67575393,81.03569343,3,2,2,rice
20.82477109,84.1341879,3,2,2,rice
26.92995077,81.91411159,3,2,2,rice
23.83509503,83.88387074,3,2,2,rice
